"順位","管理No","合計スコア"
"290","KA110189","613"
"291","TK040196","613"
"292","IB020027","612"
"293","KA110192","612"
"294","CH040278","612"
"295","IB040613","612"
"296","TK040200","612"
"297","KA100006","611"
"298","KA150107","610"
"299","KA010217","610"
"300","KA010105","610"
"301","NA030038","610"
"302","SA050021","609"
"303","IB070017","609"
"304","KA120012","609"
"305","IB050068","609"
"306","CH040126","609"
"307","CH040251","609"
"308","KA160171","608"
"309","IB070061","608"
"310","TK130026","608"
"311","KA070383","608"
"312","KA150084","608"
"313","IB080018","608"
"314","IB100095","608"
"315","IB100095","608"
"316","KA160251","608"
"317","IB080039","607"
"318","KA080045","607"
"319","CH040090","607"
"320","IB040401","607"
"321","KA010248","607"
"322","NA010043","607"
"323","KA110104","607"
"324","TK040210","607"
"325","CH040264","607"
"326","TC040004","607"
"327","TK130085","606"
"328","IB040657","606"
"329","TK130043","606"
"330","KA150103","606"
"331","TK060090","606"
"332","NA060012","606"
"333","IB080005","606"
"334","KA170020","606"
"335","IB010016","606"
"336","GU050014","606"
"337","IB020017","606"
"338","IB010054","606"
"339","SA090013","606"
"340","KA010089","605"
"341","KA110229","605"
"342","NA010042","605"
"343","KA150020","605"
"344","CH040354","605"
"345","IB070060","605"
"346","IB050058","604"
"347","KA080074","604"
"348","GU010009","604"
"349","GU020188","604"
"350","KA010241","604"
"351","TK040209","604"
"352","IB050064","604"
"353","KA110307","604"
"354","KA150163","603"
"355","KA150035","603"
"356","KA070175","603"
"357","KA160040","603"
"358","TK040004","603"
"359","CH040357","603"
"360","KA070068","603"
"361","CH040250","603"
"362","IB040001","603"
"363","YA040054","602"
"364","IB020016","602"
"365","GU010023","602"
"366","KA160150","602"
"367","TK130144","602"
"368","NA030091","602"
"369","KA070503","602"
"370","KA110074","602"
"371","KA030013","602"
"372","KA020013","602"
"373","KA080049","601"
"374","CH010038","601"
"375","NA030100","601"
"376","CH010044","601"
"377","KA110070","601"
"378","KA070075","601"
"379","CH010018","601"
"380","IB050031","601"
"381","KA070009","601"
"382","GU020070","600"
"383","IB070074","600"
"384","KA160106","600"
"385","KA010107","599"
"386","CH010060","599"
"387","KA020061","599"
"388","YA010067","599"
"389","YA010007","599"
"390","NA060068","599"
"391","GU050021","599"
"392","SA050019","598"
"393","KA150151","598"
"394","CH040375","598"
"395","IB050041","598"
"396","CH010021","598"
"397","NA030079","598"
"398","KA120051","598"
"399","CH040374","598"
"400","SA090000","598"
"401","IB060059","598"
"402","IB020028","597"
"403","CH040088","597"
"404","KA120068","597"
"405","KA080172","597"
"406","TK090001","597"
"407","KA160107","597"
"408","IB050046","597"
"409","CH040321","597"
"410","KA070002","597"
"411","KA150144","596"
"412","KA010171","596"
"413","IB050087","596"
"414","YA040003","596"
"415","IB050042","596"
"416","KA070369","596"
"417","CH040158","596"
"418","TK130048","596"
"419","KA100037","596"
"420","KA020074","596"
"421","IB050005","596"
"422","TC040014","596"
"423","TK040120","596"
"424","TC030018","596"
"425","KA010242","595"
"426","KA070148","595"
"427","TK040184","595"
"428","IB040649","595"
"429","TK130109","595"
"430","IB040264","595"
"431","KA140014","595"
"432","TC030021","595"
"433","IB040343","595"
"434","KA150202","594"
"435","NA030054","594"
"436","CH040243","594"
"437","IB050059","594"
"438","GU010002","594"
"439","TK060257","594"
"440","IB040361","594"
"441","TC040012","594"
"442","CH040100","593"
"443","KA070011","593"
"444","KA110245","593"
"445","IB010030","593"
"446","CH040162","593"
"447","IB100053","593"
"448","KA120046","593"
"449","CH010001","592"
"450","TK130100","592"
"451","KA070089","592"
"452","KA110227","592"
"453","GU020056","592"
"454","KA110200","592"
"455","NA060001","592"
"456","CH040359","592"
"457","NA030034","592"
"458","GU050004","591"
"459","IB040099","591"
"460","CH040230","591"
"461","NA010061","591"
"462","TK130040","591"
"463","YA010068","591"
"464","IB020018","591"
"465","SA020016","591"
"466","KA110246","591"
"467","KA150124","591"
"468","CH040409","591"
"469","TK130099","591"
"470","NA030082","591"
"471","IB020009","590"
"472","KA150072","590"
"473","NA030096","590"
"474","IB050085","590"
"475","KA080058","590"
"476","KA010116","590"
"477","NA030048","590"
"478","CH040107","589"
"479","TK130064","589"
"480","CH040269","589"
"481","IB080041","589"
"482","NA030086","589"
"483","NA030092","589"
"484","TK130120","589"
"485","KA070298","589"
"486","TK130106","588"
"487","IB050051","588"
"488","IB050030","588"
"489","KA070014","588"
"490","IB040545","588"
"491","TK060092","588"
"492","KA020040","587"
"493","GU010044","587"
"494","CH040006","587"
"495","IB050037","587"
"496","CH040344","587"
"497","KA150076","587"
"498","GU010041","587"
"499","IB040513","586"
"500","KA120027","586"
"501","KA070069","586"
"502","NA030080","586"
"503","KA150021","586"
"504","KA010007","586"
"505","YA010101","586"
"506","IB070047","586"
"507","IB040451","586"
"508","KA150064","586"
"509","KA080176","586"
"510","KA150019","585"
"511","IB070051","585"
"512","KA010128","585"
"513","KA110138","585"
"514","CH040296","585"
"515","CH040244","585"
"516","IB070049","585"
"517","KA110069","585"
"518","CH040294","585"
"519","CH040273","585"
"520","CH040101","585"
"521","TK130076","585"
"522","TC030080","584"
"523","IB050018","584"
"524","SA020038","584"
"525","TK150013","584"
"526","KA110188","584"
"527","TC030037","584"
"528","CH040291","584"
"529","KA020025","584"
"530","KA110185","584"
"531","TK050062","584"
"532","KA020054","583"
"533","IB050032","583"
"534","KA110124","583"
"535","TK040215","583"
"536","YA010006","583"
"537","CH010054","582"
"538","SA090004","582"
"539","TK060205","582"
"540","KA150081","582"
"541","KA110274","582"
"542","NA060019","582"
"543","SA050001","582"
"544","IB010014","582"
"545","KA110295","582"
"546","TK150020","582"
"547","CH040123","581"
"548","IB100022","581"
"549","CH040016","581"
"550","CH010066","581"
"551","YA010026","581"
"552","CH040275","581"
"553","SA090010","581"
"554","KA160174","581"
"555","GU020059","581"
"556","NA060066","581"
"557","IB040035","581"
"558","KA070114","581"
"559","KA070223","580"
"560","KA110294","580"
"561","IB020033","580"
"562","GU020067","580"
"563","KA010151","580"
"564","KA070173","580"
"565","GU030192","580"
"566","YA010029","580"
"567","IB090010","580"
"568","NA030102","580"
"569","CH040319","580"
"570","KA110059","579"
"571","KA020051","579"
"572","TK040137","579"
"573","NA010037","579"
"574","CH040316","579"
"575","KA110163","579"
"576","KA080001","579"
"577","KA080087","579"
"578","NA010057","579"
"579","GU010073","579"
"580","GU010016","579"
"581","KA120054","579"
"582","CH020032","578"
"583","TK060091","578"
"584","KA110308","578"
"585","KA160268","578"
"586","IB020012","578"
"587","KA150139","578"
"588","IB080097","578"
"589","KA070381","578"
"590","TK150033","578"
"591","NA060070","578"
"592","CH040322","577"
"593","IB010037","577"
"594","KA010256","577"
"595","CH040055","577"
"596","KA110219","577"
"597","KA070178","577"
"598","TK130063","577"
"599","KA010013","577"
"600","YA040001","577"
"601","KA010251","577"
"602","KA080238","577"
"603","KA080238","577"
"604","KA080073","577"
"605","TC030002","577"
"606","IB040026","577"
"607","KA150055","576"
"608","TK130163","576"
"609","TK060207","576"
"610","KA040041","576"
"611","IB070032","576"
"612","NA010007","576"
"613","KA080065","576"
"614","KA120062","576"
"615","KA020004","576"
"616","YA010024","575"
"617","KA020019","575"
"618","NA030088","575"
"619","IB040162","575"
"620","YA010070","574"
"621","KA160140","574"
"622","KA110267","574"
"623","IB040534","574"
"624","IB040262","574"
"625","TC030062","574"
"626","TK130117","574"
"627","GU020023","574"
"628","IB010051","573"
"629","KA080060","573"
"630","KA010101","573"
"631","KA070313","573"
"632","IB020023","573"
"633","TK130053","572"
"634","YA010105","572"
"635","NA060029","572"
"636","IB070018","572"
"637","IB070075","572"
"638","SA020030","572"
"639","KA010306","572"
"640","TK060320","572"
"641","KA160041","572"
"642","IB050019","571"
"643","KA070264","571"
"644","TK150014","571"
"645","SA130022","571"
"646","GU020186","571"
"647","TK090008","571"
"648","IB010031","571"
"649","TK060024","571"
"650","KA110167","570"
"651","KA180053","570"
"652","KA170016","570"
"653","CH040050","570"
"654","KA010218","570"
"655","TK090009","570"
"656","IB010011","570"
"657","IB050023","570"
"658","NA010009","570"
"659","IB070065","570"
"660","KA070263","570"
"661","NA030095","570"
"662","IB070034","570"
"663","KA020023","570"
"664","GU030008","570"
"665","KA160094","569"
"666","KA070097","569"
"667","KA110023","569"
"668","KA080160","569"
"669","KA140037","569"
"670","CH040314","569"
"671","KA010064","569"
"672","KA140032","568"
"673","KA110184","568"
"674","TK060000","568"
"675","GU020179","568"
"676","YA040004","568"
"677","KA070141","568"
"678","IB070083","568"
"679","KA160287","568"
"680","GU030095","568"
"681","CH040022","567"
"682","CH040198","567"
"683","GU010001","567"
"684","KA150054","567"
"685","TK150012","567"
"686","KA020008","567"
"687","CH040021","567"
"688","IB050086","567"
"689","IB070052","567"
"690","TC040006","567"
"691","IB040289","567"
"692","KA110152","567"
"693","SA020002","567"
"694","TK090005","566"
"695","CH040229","566"
"696","KA020053","566"
"697","NA060023","565"
"698","IB080094","565"
"699","KA160286","565"
"700","KA160165","565"
"701","KA070171","565"
"702","IB080020","565"
"703","TK060176","565"
"704","YA010030","565"
"705","GU030106","565"
"706","NA060028","565"
"707","KA160153","565"
"708","KA080057","564"
"709","GU010003","564"
"710","KA070265","564"
"711","CH010002","564"
"712","TK060105","564"
"713","TK040199","564"
"714","IB040629","564"
"715","KA110105","564"
"716","IB050004","564"
"717","KA110099","564"
"718","IB070016","564"
"719","IB050017","564"
"720","SA130012","564"
"721","KA110119","564"
"722","GU010091","564"
"723","CH040150","564"
"724","GU030235","564"
"725","IB100078","564"
"726","CH020018","563"
"727","CH040207","563"
"728","SA020027","563"
"729","CH040323","563"
"730","KA070311","563"
"731","KA150143","563"
"732","GU030144","563"
"733","KA160119","563"
"734","KA120064","563"
"735","IB050025","563"
"736","KA160277","563"
"737","IB040435","563"
"738","NA030094","563"
"739","TK050178","563"
"740","KA070109","562"
"741","IB040299","562"
"742","CH040210","562"
"743","GU040056","562"
"744","CH040226","562"
"745","TK080001","562"
"746","TK040108","562"
"747","TC030034","562"
"748","KA070239","562"
"749","CH040408","562"
